desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Arnold D. Robbins,awk1.c,,,STRICT,,,,,,Autor
Arnold D. Robbins,awk1.c,,,STRICT	/* strict Unix awk compatibility */,,,,,,Autor
Arnold D. Robbins,awk1.c,,,MSDOS,,,,,,Autor
Arnold D. Robbins,awk2.c,7,True,Allow_Exponents,4,"3ffce190be7a1d11725c224fa76876d2b621d00d  -  2010-07-02 15:44:01+03:00, 3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",5.047,1.0,Misto,Autor
Arnold D. Robbins,awk2.c,,,DONTDEF,,,,,,Autor
Arnold D. Robbins,awk2.c,,,FAST,,,,,,Autor
Arnold D. Robbins,awk2.c,,,SYSV,,,,,,Autor
Arnold D. Robbins,awk2.c,,,DEBUG,,,,,,Autor
Arnold D. Robbins,awk2.c,,,NOMEMCMP,,,,,,Autor
Arnold D. Robbins,awk2.c,,,MSDOS,,,,,,Autor
Arnold D. Robbins,awk3.c,3,True,FAST,4,"3ffce190be7a1d11725c224fa76876d2b621d00d  -  2010-07-02 15:44:01+03:00, 3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",5.047,1.0,Misto,Autor
Arnold D. Robbins,awk3.c,,,USG,,,,,,Autor
Arnold D. Robbins,awk3.c,,,notdef,,,,,,Autor
