"Desenvolvedor","Data","Commits","Total"
"Ethan A Merritt","2013-11-01",12,4149
"Bastian Maerkisch","2013-12-01",4,4149
"Ethan A Merritt","2013-12-01",21,4149
"Thomas Bleher","2013-12-01",1,4149
"Bastian Maerkisch","2014-01-01",12,4149
"Ethan A Merritt","2014-01-01",19,4149
"Jerome Lodewyck","2014-01-01",5,4149
"Bastian Maerkisch","2014-02-01",4,4149
"Ethan A Merritt","2014-02-01",13,4149
"Jerome Lodewyck","2014-02-01",2,4149
"Bastian Maerkisch","2014-03-01",5,4149
"Christoph Bersch","2014-03-01",1,4149
"Ethan A Merritt","2014-03-01",33,4149
"Jerome Lodewyck","2014-03-01",2,4149
"Bastian Maerkisch","2014-04-01",2,4149
"Ethan A Merritt","2014-04-01",45,4149
"Jerome Lodewyck","2014-04-01",1,4149
"Ethan A Merritt","2014-05-01",20,4149
"Bastian Maerkisch","2014-06-01",5,4149
"Ethan A Merritt","2014-06-01",13,4149
"Bastian Maerkisch","2014-07-01",1,4149
"Ethan A Merritt","2014-07-01",10,4149
"Ethan A Merritt","2014-08-01",17,4149
"Bastian Maerkisch","2014-09-01",4,4149
"Ethan A Merritt","2014-09-01",16,4149
"Bastian Maerkisch","2014-10-01",1,4149
"Ethan A Merritt","2014-10-01",13,4149
"Bastian Maerkisch","2014-11-01",1,4149
"Ethan A Merritt","2014-11-01",11,4149
"Bastian Maerkisch","2014-12-01",8,4149
"Ethan A Merritt","2014-12-01",19,4149
"Christoph Bersch","2015-01-01",1,4149
"Ethan A Merritt","2015-01-01",25,4149
"Ethan A Merritt","2015-02-01",12,4149
"Ethan A Merritt","2015-03-01",26,4149
"Ethan A Merritt","2015-04-01",26,4149
"Ethan A Merritt","2015-05-01",9,4149
"Ethan A Merritt","2015-06-01",9,4149
"Ethan A Merritt","2015-07-01",30,4149
"Ethan A Merritt","2015-08-01",21,4149
"Ethan A Merritt","2015-09-01",9,4149
"Ethan A Merritt","2015-10-01",19,4149
"Hans-Bernhard Broeker","2015-10-01",1,4149
"Ethan A Merritt","2015-11-01",9,4149
"Ethan A Merritt","2015-12-01",11,4149
"Ethan A Merritt","2016-01-01",17,4149
"Bastian Maerkisch","2016-02-01",1,4149
"Ethan A Merritt","2016-02-01",17,4149
"Bastian Maerkisch","2016-03-01",4,4149
"Ethan A Merritt","2016-03-01",28,4149
"Ethan A Merritt","2016-04-01",26,4149
"Bastian Maerkisch","2016-05-01",36,4149
