desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Jeff Bailey,DEBUG,1,1.609,1.099,1.099,2,regex.c,1,1,33.333,0.5,50.0,1.0,13,0.15853658536585366,0.44157608695652173,0.5916528970124486,0.6638551827696624
Gary V. Vaughan,DEBUG_I00AFUNC,0,1.099,0.693,0.693,1,alloca.c,1,0,50.0,1.0,50.0,1.0,13,0.4642857142857143,4.0,0.9075700315670454,1.0
Jeff Bailey,DEBUG_I00AFUNC,1,1.099,0.693,0.693,1,alloca.c,1,1,50.0,1.0,50.0,1.0,14,0.5,4.3076923076923075,0.9075700315670454,1.0
Gary V. Vaughan,DEBUG_INCL,0,1.099,0.693,0.693,1,path.c,1,0,50.0,1.0,50.0,1.0,1,0.5,33.333333333333336,0.9075700315670454,1.0
Jeff Bailey,DEBUG_INCL,1,1.099,0.693,0.693,1,path.c,1,1,50.0,1.0,50.0,1.0,2,1.0,66.66666666666667,0.9075700315670454,1.0
Eric Blake,DEBUG_INPUT,0,2.197,1.946,1.099,1,input.c,6,0,75.0,1.0,75.0,1.0,6,0.5,11.11111111111111,0.9483203538667344,1.0
Gary V. Vaughan,DEBUG_INPUT,0,2.197,0.693,2.079,1,input.c,1,0,12.5,0.167,12.5,0.167,7,0.5833333333333334,12.962962962962964,0.2592268335924892,0.27335365368411974
Jeff Bailey,DEBUG_INPUT,1,2.197,0.693,2.079,1,input.c,1,1,12.5,0.167,12.5,0.167,8,0.6666666666666666,14.814814814814815,0.2592268335924892,0.27335365368411974
Eric Blake,DEBUG_MACRO,1,0.693,0.693,0.0,1,macro.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Eric Blake,DEBUG_MODULES,0,2.708,1.386,2.485,1,module.c,3,0,21.429,0.3,21.429,0.3,3,0.1875,4.918032786885246,0.3419654502589688,0.37018053142107243
Gary V. Vaughan,DEBUG_MODULES,0,2.708,2.398,1.609,1,module.c,10,0,71.429,1.0,71.429,1.0,13,0.8125,21.311475409836067,0.9237802132548953,1.0
Jeff Bailey,DEBUG_MODULES,1,2.708,0.693,2.639,1,module.c,1,1,7.143,0.1,7.143,0.1,14,0.875,22.950819672131146,0.15883980402124095,0.17194544951507082
Eric Blake,DEBUG_OUTPUT,0,1.099,0.693,0.693,1,output.c,1,0,50.0,1.0,50.0,1.0,1,0.07692307692307693,1.2345679012345678,0.9075700315670454,1.0
Jeff Bailey,DEBUG_OUTPUT,1,1.099,0.693,0.693,1,output.c,1,1,50.0,1.0,50.0,1.0,2,0.15384615384615385,2.4691358024691357,0.9075700315670454,1.0
Jeff Bailey,DEBUG_STKOVF,1,0.693,0.693,0.0,1,stackovf.c,1,1,100.0,1.0,100.0,1.0,3,0.125,1.0,0.9821873255543234,1.0
Gary V. Vaughan,DEBUG_SYM,0,1.792,1.609,0.693,1,symtab.c,4,0,80.0,1.0,80.0,1.0,4,0.5714285714285714,25.0,0.9693005381734072,1.0
Jeff Bailey,DEBUG_SYM,1,1.792,0.693,1.609,1,symtab.c,1,1,20.0,0.25,20.0,0.25,5,0.7142857142857143,31.25,0.3595538342807926,0.3709415399256372
Gary V. Vaughan,DEBUG_SYNTAX,1,1.609,1.609,0.0,2,input.c,2,1,100.0,1.0,100.0,1.0,10,0.8333333333333334,18.51851851851852,1.0439178321606852,1.0
Gary V. Vaughan,DEBUG_SYNTAX,1,1.609,1.609,0.0,2,syntax.c,2,1,100.0,1.0,100.0,1.0,2,1.0,100.0,1.0439178321606852,1.0
Gary V. Vaughan,DEFINED_ONCE,1,1.099,1.099,0.0,1,regex.c,2,1,100.0,1.0,100.0,1.0,15,0.18292682926829268,0.5095108695652174,1.0095035098875704,1.0
Gary V. Vaughan,DLL_EXPORT,0,1.946,1.386,1.386,4,error.c,1,1,100.0,1.0,50.0,1.0,2,0.09523809523809523,1.6129032258064515,0.8796500631340909,1.0
Gary V. Vaughan,DLL_EXPORT,0,1.946,1.386,1.386,4,m4module.c,1,0,50.0,1.0,50.0,1.0,1,0.25,10.0,0.8796500631340909,1.0
Gary V. Vaughan,DLL_EXPORT,0,1.946,1.386,1.386,4,ltdl.c,1,0,50.0,1.0,50.0,1.0,11,0.09734513274336283,0.3483217226092464,0.8796500631340909,1.0
Jeff Bailey,DLL_EXPORT,1,1.946,1.386,1.386,4,ltdl.c,1,1,50.0,1.0,50.0,1.0,12,0.10619469026548672,0.3799873337555415,0.8796500631340909,1.0
Jeff Bailey,DLL_EXPORT,1,1.946,1.386,1.386,4,m4error.c,1,1,100.0,1.0,50.0,1.0,1,0.14285714285714285,3.5714285714285716,0.8796500631340909,1.0
Jeff Bailey,DLL_EXPORT,1,1.946,1.386,1.386,4,m4module.c,1,1,50.0,1.0,50.0,1.0,2,0.5,20.0,0.8796500631340909,1.0
Gary V. Vaughan,DYNAMIC_PATH,0,1.099,0.693,0.693,1,ltdl.c,1,0,50.0,1.0,50.0,1.0,13,0.11504424778761062,0.4116529449018366,0.9075700315670454,1.0
Jeff Bailey,DYNAMIC_PATH,1,1.099,0.693,0.693,1,ltdl.c,1,1,50.0,1.0,50.0,1.0,14,0.12389380530973451,0.44331855604813175,0.9075700315670454,1.0
Gary V. Vaughan,ELIDE_CODE,0,1.946,1.386,1.386,4,getopt.c,1,0,50.0,1.0,50.0,1.0,7,0.16279069767441862,1.0494752623688155,0.8796500631340909,1.0
Gary V. Vaughan,ELIDE_CODE,0,1.946,1.386,1.386,4,getopt1.c,1,0,50.0,1.0,50.0,1.0,7,0.28,3.0701754385964914,0.8796500631340909,1.0
Gary V. Vaughan,ELIDE_CODE,0,1.946,1.386,1.386,4,obstack.c,1,1,100.0,1.0,50.0,1.0,9,0.45,6.617647058823529,0.8796500631340909,1.0
Jeff Bailey,ELIDE_CODE,1,1.946,1.386,1.386,4,getopt.c,1,1,50.0,1.0,50.0,1.0,8,0.18604651162790697,1.199400299850075,0.8796500631340909,1.0
Jeff Bailey,ELIDE_CODE,1,1.946,1.386,1.386,4,getopt1.c,1,1,50.0,1.0,50.0,1.0,8,0.32,3.508771929824561,0.8796500631340909,1.0
Jeff Bailey,ELIDE_CODE,1,1.946,1.386,1.386,4,m4obstack.c,1,1,100.0,1.0,50.0,1.0,4,0.4444444444444444,8.88888888888889,0.8796500631340909,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,builtin.c,2,0,66.667,1.0,64.286,1.0,2,0.2857142857142857,11.764705882352942,0.8977322508526088,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,m4.c,1,0,50.0,1.0,64.286,1.0,4,0.16,1.941747572815534,0.8977322508526088,1.0
Gary V. Vaughan,ENABLE_CHANGEWORD,0,2.708,2.303,1.792,7,utility.c,2,1,100.0,1.0,64.286,1.0,2,1.0,100.0,0.8977322508526088,1.0
