"Desenvolvedor","Data","Commits","Total"
"Piotr Majkrzak","2020-05-01",1,2762
"Frank Morgner","2020-06-01",10,2762
"Jakub Jelen","2020-06-01",11,2762
"Frank Morgner","2020-07-01",2,2762
"Jakub Jelen","2020-07-01",1,2762
"Jakub Jelen","2020-08-01",4,2762
"Peter Marschall","2020-08-01",1,2762
"Doug Engert","2020-09-01",1,2762
"Frank Morgner","2020-09-01",3,2762
"Jakub Jelen","2020-09-01",3,2762
"Ricky","2020-09-01",1,2762
"Doug Engert","2020-10-01",1,2762
"Frank Morgner","2020-10-01",3,2762
"Jakub Jelen","2020-10-01",3,2762
"Frank Morgner","2020-11-01",2,2762
"Jakub Jelen","2020-11-01",7,2762
"Ricky","2020-11-01",1,2762
"Doug Engert","2020-12-01",1,2762
"Jakub Jelen","2020-12-01",3,2762
