desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Sebastian Pipping,(__UINTPTR_TYPE__),1,1.099,1.099,0.0,1,xmlparse.c,2,1,100.0,1.0,100.0,1.0,40,0.291970802919708,0.6216006216006216,1.0095035098875704,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,xmlfile.c,1,0,50.0,1.0,50.0,1.0,11,0.2391304347826087,1.1530398322851152,0.8571087391960519,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,xmlwf.c,1,0,50.0,1.0,50.0,1.0,7,0.15555555555555556,1.286764705882353,0.8571087391960519,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,runtests.c,1,0,50.0,1.0,50.0,1.0,11,0.1864406779661017,2.127659574468085,0.8571087391960519,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,benchmark.c,1,0,50.0,1.0,50.0,1.0,1,0.16666666666666666,5.555555555555555,0.8571087391960519,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,elements.c,1,0,50.0,1.0,50.0,1.0,3,0.375,9.67741935483871,0.8571087391960519,1.0
Sebastian Pipping,(__amigaos__) && (__USE_INLINE__),0,2.565,1.946,1.946,6,outline.c,1,0,50.0,1.0,50.0,1.0,3,0.375,9.67741935483871,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,xmlfile.c,1,1,50.0,1.0,50.0,1.0,12,0.2608695652173913,1.2578616352201257,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,xmlwf.c,1,1,50.0,1.0,50.0,1.0,8,0.17777777777777778,1.4705882352941178,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,runtests.c,1,1,50.0,1.0,50.0,1.0,12,0.2033898305084746,2.3210831721470018,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,benchmark.c,1,1,50.0,1.0,50.0,1.0,2,0.3333333333333333,11.11111111111111,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,elements.c,1,1,50.0,1.0,50.0,1.0,4,0.5,12.903225806451612,0.8571087391960519,1.0
Steven Solie,(__amigaos__) && (__USE_INLINE__),1,2.565,1.946,1.946,6,outline.c,1,1,50.0,1.0,50.0,1.0,4,0.5,12.903225806451612,0.8571087391960519,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,runtests.c,2,1,100.0,1.0,100.0,1.0,14,0.23728813559322035,2.7079303675048356,1.1082906382121838,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,benchmark.c,2,1,100.0,1.0,100.0,1.0,4,0.6666666666666666,22.22222222222222,1.1082906382121838,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,xmlfile.c,2,1,100.0,1.0,100.0,1.0,14,0.30434782608695654,1.4675052410901468,1.1082906382121838,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,xmlwf.c,2,1,100.0,1.0,100.0,1.0,10,0.2222222222222222,1.838235294117647,1.1082906382121838,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,elements.c,2,1,100.0,1.0,100.0,1.0,6,0.75,19.35483870967742,1.1082906382121838,1.0
Steven Solie,AMIGA_SHARED_LIB,1,2.565,2.565,0.0,6,outline.c,2,1,100.0,1.0,100.0,1.0,6,0.75,19.35483870967742,1.1082906382121838,1.0
