"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Gert Doering","2019-10-01","Major",20,0,20,100,0
"Antonio Quartulli","2019-11-01","Major",20,0,20,100,0
"Arne Schwabe","2019-11-01","Major",20,0,20,100,0
"Steffan Karger","2019-11-01","Major",20,0,20,100,0
"Arne Schwabe","2019-12-01","Major",20,0,20,100,0
"Lev Stipakov","2019-12-01","Major",20,0,20,100,0
"Steffan Karger","2020-01-01","Major",20,0,20,100,0
"Arne Schwabe","2020-02-01","Major",20,0,20,100,0
"David Sommerseth","2020-02-01","Major",20,0,20,100,0
"Heiko Hund","2020-02-01","Major",20,0,20,100,0
"Selva Nair","2020-02-01","Major",20,0,20,100,0
"Arne Schwabe","2020-03-01","Major",20,0,20,100,0
"Simon Rozman","2020-03-01","Major",20,0,20,100,0
"Antonio Quartulli","2020-04-01","Major",20,0,20,100,0
"Arne Schwabe","2020-04-01","Major",20,0,20,100,0
"Gert Doering","2020-04-01","Major",20,0,20,100,0
"Antonio Quartulli","2020-05-01","Major",20,0,20,100,0
"Arne Schwabe","2020-05-01","Major",20,0,20,100,0
"Antonio Quartulli","2020-06-01","Major",20,0,20,100,0
"Arne Schwabe","2020-06-01","Major",21,0,21,100,0
"James Bottomley","2020-06-01","Major",21,0,21,100,0
"Arne Schwabe","2020-07-01","Major",21,0,21,100,0
"Gert Doering","2020-07-01","Major",21,0,21,100,0
"Lev Stipakov","2020-07-01","Major",21,0,21,100,0
"Steffan Karger","2020-07-01","Major",21,0,21,100,0
"Arne Schwabe","2020-08-01","Major",21,0,21,100,0
"Gert Doering","2020-08-01","Major",21,0,21,100,0
"Gert Doering","2020-09-01","Major",21,0,21,100,0
"Selva Nair","2020-09-01","Major",21,0,21,100,0
"Arne Schwabe","2020-10-01","Major",21,0,21,100,0
"Gert Doering","2020-10-01","Major",21,0,21,100,0
"Steffan Karger","2020-10-01","Major",21,0,21,100,0
"Arne Schwabe","2020-12-01","Major",21,0,21,100,0
