commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,socket.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,string.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,wrapper.c,1,True,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,agent.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,auth.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
848984f25f8d8009b250e53e9d1c13af0943ad08,2009-06-01,Andreas Schneider,auth.c,1,True,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,buffer.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,channels.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
d14a492019ac04d3afbb0fb519d16c331dc4e93b,2009-06-01,Andreas Schneider,channels.c,1,True,,Misto,Colaborador,100.0,Major
387348968842dce1fd5da139fc858866c10830e2,2009-06-01,Andreas Schneider,channels.c,1,True,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,client.c,1,False,_WIN32,Misto,Colaborador,33.333333333333336,Major
7dbc66e4a389b5d7cd075f73559415aaa0e555df,2009-06-01,Aris Adamantiadis,client.c,1,True,,Misto,Colaborador,66.66666666666667,Major
bab8508eba16ffc7a2c1ff6c93c1d4384ae44066,2009-06-01,Aris Adamantiadis,client.c,1,True,,Misto,Colaborador,66.66666666666667,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,crypt.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,dh.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
7dbc66e4a389b5d7cd075f73559415aaa0e555df,2009-06-01,Aris Adamantiadis,init.c,1,True,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,kex.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,keyfiles.c,1,False,_WIN32,Misto,Colaborador,33.333333333333336,Major
730af24de8dba66b80407e83caabaa424d4f89b2,2009-06-01,Aris Adamantiadis,keyfiles.c,1,True,,Misto,Colaborador,66.66666666666667,Major
8724f97a1938a1c67e8bd89d653673e9cde79246,2009-06-01,Aris Adamantiadis,keyfiles.c,1,True,,Misto,Colaborador,66.66666666666667,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,messages.c,1,False,_WIN32,Misto,Colaborador,25.0,Major
e2af94289f4aa328af9eddb48826cd6a54637e60,2009-06-01,Aris Adamantiadis,messages.c,1,True,,Misto,Colaborador,75.0,Major
cf482ae3bfb8492d996cfc9e036f5086ff69eed4,2009-06-01,Aris Adamantiadis,messages.c,1,True,,Misto,Colaborador,75.0,Major
1bea53375b2fb764d9a900a0946d71d7baafb00f,2009-06-01,Aris Adamantiadis,messages.c,1,True,,Misto,Colaborador,75.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,misc.c,1,False,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,packet.c,1,False,_WIN32,Misto,Colaborador,33.333333333333336,Major
cf482ae3bfb8492d996cfc9e036f5086ff69eed4,2009-06-01,Aris Adamantiadis,packet.c,1,True,,Misto,Colaborador,66.66666666666667,Major
1bea53375b2fb764d9a900a0946d71d7baafb00f,2009-06-01,Aris Adamantiadis,packet.c,1,True,,Misto,Colaborador,66.66666666666667,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,9,True,(_WIN32_WINNT) && (_WIN32_WINNT >= 0x0600),Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,HAVE_POLL,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,STRICT,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,_WIN32,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,!(HAVE_POLL) && !(_WIN32),Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,!(HAVE_SELECT) && !(HAVE_POLL),Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,SELECT_LIMIT_CHECK,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,USE_POLL,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,poll.c,,,USE_SELECT,Misto,Colaborador,100.0,Major
77cd4795c56550f32a4146389799892ffe2986b0,2009-06-01,Andreas Schneider,sample.c,1,True,,Misto,Colaborador,33.333333333333336,Major
e671ebcd996c797e3bedae94c9200dcd8cad93f1,2009-06-01,Aris Adamantiadis,sample.c,1,True,,Misto,Colaborador,66.66666666666667,Major
a3fa6f3099ba600c8c589332e73d83e9596c6361,2009-06-01,Aris Adamantiadis,sample.c,1,True,,Misto,Colaborador,66.66666666666667,Major
7dbc66e4a389b5d7cd075f73559415aaa0e555df,2009-06-01,Aris Adamantiadis,server.c,1,True,,Misto,Colaborador,100.0,Major
1bea53375b2fb764d9a900a0946d71d7baafb00f,2009-06-01,Aris Adamantiadis,session.c,1,True,,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,sftp.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
5a755a8219fb3d1d6337300178b0572bd7397fe9,2009-06-01,Andreas Schneider,sftpserver.c,1,False,_WIN32,Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,socket.c,6,True,!(HAVE_POLL) && !(_WIN32),Misto,Colaborador,100.0,Major
87995db8fe50580a60c7463613e181033dbb7ef1,2009-06-01,Andreas Schneider,socket.c,,,!(HAVE_SELECT) && !(HAVE_POLL),Misto,Colaborador,100.0,Major
